WindSpeed,WindDirection,AirTemperature,AirPressure,PowerOutput
8.74,4,32.76,1010.13,3427
19.11,91,10.42,1024.74,34841
15.18,169,22.04,1009.78,17555
12.78,316,32.46,1005.1,10398
4.81,21,6.02,1012.88,590
4.81,325,25.92,1000.93,491
3.05,0,13.92,982.71,50
17.59,132,32.73,1005.3,27221
12.82,232,34.13,1023.09,10346
14.75,11,33.33,987.89,16015
2.37,345,19.23,1011.05,-94
19.46,45,30.86,989.04,36924
16.98,33,30.34,1004.11,24583
5.82,77,14.57,984.35,899
5.27,217,29.87,1000.27,774
5.3,300,6.11,1014.03,834
7.48,72,22.89,995.64,2182
11.45,281,11.9,1009.92,7527
9.78,248,8.62,1015.8,4750
7.24,46,7.31,1021.72,1832
13.01,120,25.89,990.56,11018
4.51,213,15.2,997.97,411
7.26,238,26.74,986.86,1839
8.59,55,6.96,1024.66,3172
10.21,349,14.46,1021.72,5356
16.13,106,21.18,1004.3,21099
5.59,318,28.72,1017.89,899
11.26,47,14.56,1003.44,7202
12.66,60,23.78,1008.06,10210
2.84,336,31.58,984.01,383
12.94,25,23.48,1013.99,10652
5.07,291,11.99,985.75,582
3.17,256,5.73,1017.17,306
19.08,7,31.1,1015.19,34694
19.38,112,5.64,1011.89,36482
16.55,354,31.24,981.63,22688
7.48,252,20.87,993.64,2303
3.76,179,33.17,991.84,154
14.32,206,28.96,996.21,14804
9.92,302,34.94,983.94,5055
4.2,126,15.52,1022.16,268
10.91,55,28.02,1004.92,6571
2.62,213,17.06,993.75,-6
18.37,13,19.4,997.86,30998
6.66,27,23.83,1000.12,1451
13.93,77,31.21,1007.03,13274
7.61,215,34.52,1003.21,2245
11.36,153,28.05,1021.37,7344
11.84,13,17.53,1002.36,8446
5.33,186,17.64,1024.65,818
19.45,311,27.13,1018.31,37019
15.95,6,12.16,989.38,20299
18.91,2,8.31,1021.88,33799
18.11,110,15.64,985.24,29679
12.76,237,13.62,1016.79,10343
18.59,238,13.89,997.13,31901
3.59,273,12.01,1019.51,209
5.53,293,6.26,1019.06,638
2.81,226,5.54,1016.27,156
7.86,14,34.63,1015.55,2303
9.0,191,17.83,993.71,3555
6.88,118,16.53,983.64,1561
16.92,27,25.39,998.13,24199
